from,to,vote,relationship,year
Pape Bouna Thiaw,Achraf Hakimi,3,4,2025
Pape Bouna Thiaw,Raphinha,1,4,2025
Pape Bouna Thiaw,Vinícius Jr,5,4,2024
Pape Bouna Thiaw,Rodri,3,4,2024
Pape Bouna Thiaw,Jude Bellingham,1,4,2024
Thierno Souleymane Diallo,Ousmane Dembélé,5,4,2025
Thierno Souleymane Diallo,Achraf Hakimi,3,4,2025
Thierno Souleymane Diallo,Kylian Mbappé,1,4,2025
Thierno Souleymane Diallo,Kylian Mbappé,5,4,2023
Thierno Souleymane Diallo,Erling Haaland,3,4,2023
Thierno Souleymane Diallo,Victor Osimhen,1,4,2023
Thierno Souleymane Diallo,Vinícius Jr,5,4,2024
Thierno Souleymane Diallo,Dani Carvajal,3,4,2024
Thierno Souleymane Diallo,Lionel Messi,1,4,2024
Aliou Cissé,Erling Haaland,5,4,2023
Aliou Cissé,Kylian Mbappé,3,4,2023
Aliou Cissé,Victor Osimhen,1,4,2023
Alireza Jahanbakhsh,Ousmane Dembélé,5,4,2025
Alireza Jahanbakhsh,Lamine Yamal,3,4,2025
Alireza Jahanbakhsh,Vitinha,1,4,2025
Alireza Jahanbakhsh,Vinícius Jr,5,4,2024
Alireza Jahanbakhsh,Rodri,3,4,2024
Alireza Jahanbakhsh,Dani Carvajal,1,4,2024
Ardeshir Ghalehnoy,Ousmane Dembélé,5,4,2025
Ardeshir Ghalehnoy,Kylian Mbappé,3,4,2025
Ardeshir Ghalehnoy,Vitinha,1,4,2025
Ardeshir Ghalehnoy,Lionel Messi,5,4,2023
Ardeshir Ghalehnoy,Kevin De Bruyne,3,4,2023
Ardeshir Ghalehnoy,Erling Haaland,1,4,2023
Ardeshir Ghalehnoy,Lamine Yamal,5,4,2024
Ardeshir Ghalehnoy,Vinícius Jr,3,4,2024
Ardeshir Ghalehnoy,Rodri,1,4,2024
Masoud Hossein,Ousmane Dembélé,5,4,2025
Masoud Hossein,Nuno Mendes,3,4,2025
Masoud Hossein,Vitinha,1,4,2025
Masoud Hossein,Kevin De Bruyne,5,4,2023
Masoud Hossein,Rodri,3,4,2023
Masoud Hossein,Marcelo Brozović,1,4,2023
Masoud Hossein,Vinícius Jr,5,4,2024
Masoud Hossein,Rodri,3,4,2024
Masoud Hossein,Erling Haaland,1,4,2024
Ehsan Hajisafi,Erling Haaland,5,4,2023
Ehsan Hajisafi,Lionel Messi,3,4,2023
Ehsan Hajisafi,Rodri,1,4,2023
Pierre Emile Højbjerg,Ousmane Dembélé,5,4,2025
Pierre Emile Højbjerg,Kylian Mbappé,3,4,2025
Pierre Emile Højbjerg,Harry Kane,1,4,2025
Pierre Emile Højbjerg,Erling Haaland,5,4,2024
Pierre Emile Højbjerg,Vinícius Jr,3,4,2024
Pierre Emile Højbjerg,Rodri,1,4,2024
Brian Riemer,Kylian Mbappé,5,4,2025
Brian Riemer,Ousmane Dembélé,3,4,2025
Brian Riemer,Lamine Yamal,1,4,2025
Brian Riemer,Rodri,5,4,2024
Brian Riemer,Jude Bellingham,3,4,2024
Brian Riemer,Lamine Yamal,1,4,2024
Klaus Egelund,Mohamed Salah,5,4,2025
Klaus Egelund,Ousmane Dembélé,3,4,2025
